id_questao,missao,pergunta,alternativa_Certa,texto alternativa_a,texto alternativa_b,texto alternativa_c,texto alternativa_d,texto alternativa_e,texto_alternativa_certa
"M5_Q15",5,"O que caracteriza um `jump` (salto) em programação?","b","Um comando de única entrada e única saída.","Uma transferência de controle explícita de um ponto para outro do programa.","Um comando que termina a execução de um bloco de código.","Um comando que manipula exceções.","Um comando que é usado apenas para loops.","Uma transferência de controle explícita de um ponto para outro do programa."
"M5_Q16",5,"Qual o problema do uso irrestrito de `jumps`?","a","Gera comandos do tipo múltiplas-entradas e múltiplas-saídas (programas spaghetti).","Melhora a legibilidade e a organização do código.","Evita que um comando seja executado abruptamente.","Torna o código mais conciso.","Aumenta a reusabilidade do código.","Gera comandos do tipo múltiplas-entradas e múltiplas-saídas (programas spaghetti)."
"M5_Q17",5,"Qual é a função de um `escape` (como `break`, `continue` ou `return` em Java)?","c","Garantir que um comando seja sempre executado sequencialmente.","Criar um loop infinito.","Terminar a execução de um comando composto, transferindo o controle para o próximo.","Causar um erro em tempo de execução.","Iniciar a execução de um novo programa.","Terminar a execução de um comando composto, transferindo o controle para o próximo."
"M5_Q18",5,"Quando é gerada uma `exception` (exceção)?","b","Quando o programa termina a sua execução normalmente.","Quando condições anormais ocorrem, como uma divisão por zero.","Quando um loop é executado repetidamente.","Quando um comando é executado sequencialmente.","Quando um `jump` é utilizado.","Quando condições anormais ocorrem, como uma divisão por zero."
"M5_Q19",5,"O que o material define como um programa ""robusto""?","a","Um programa que consegue se recuperar de condições anormais sem encerrar a sua execução.","Um programa que nunca gera erros.","Um programa que é escrito em uma linguagem funcional.","Um programa que é muito rápido.","Um programa que usa alocação de memória estática.","Um programa que consegue se recuperar de condições anormais sem encerrar a sua execução."
"M5_Q20",5,"Na arquitetura de von Neumann, como os dados e as instruções devem ser transportados?","b","Da CPU para a Memória Principal.","Da Memória Principal para a CPU.","Diretamente para os sistemas de Entrada/Saída.","Apenas da ALU para os Registradores.","Eles são armazenados apenas na CPU.","Da Memória Principal para a CPU."
"M6_Q01",6,"Qual a principal característica que diferencia o paradigma funcional do paradigma imperativo?","b","O uso de comandos de atribuição para modificar o estado de variáveis.","A ausência de mudança de estado, baseada em funções matemáticas.","A capacidade de usar laços de repetição como `for` e `while`.","A obrigatoriedade do uso de expressões condicionais como `if/else`.","A presença de variáveis mutáveis.","A ausência de mudança de estado, baseada em funções matemáticas."
"M6_Q02",6,"Em Haskell, como é definida a prototipação de tipos para uma função?","a","Uma sequência dos tipos dos argumentos, seguida do tipo do valor de retorno.","A definição do tipo é opcional, pois a linguagem deduz automaticamente.","Com uma notação de seta (`->`) entre o nome da função e o tipo.","Usando a palavra-chave `type` antes do nome da função.","Não existe prototipação de tipos em Haskell.","Uma sequência dos tipos dos argumentos, seguida do tipo do valor de retorno."
"M6_Q03",6,"O que é a Transparência Referencial no contexto da programação funcional?","b","Um programa funcional é completamente determinado pelas entradas que recebe, sem efeitos colaterais.","A habilidade de uma função modificar o estado de variáveis externas.","A capacidade de se referir a variáveis de outros escopos.","O uso de ponteiros para acessar dados na memória.","A definição de funções que dependem da ordem de execução.","Um programa funcional é completamente determinado pelas entradas que recebe, sem efeitos colaterais."
"M6_Q04",6,"Qual a principal diferença entre os tipos `Int` e `Integer` em Haskell?","c","`Int` é usado para números de ponto flutuante e `Integer` para inteiros.","`Integer` é um tipo de dados mais antigo e obsoleto.","`Int` é para inteiros de precisão fixa, enquanto `Integer` é para inteiros de precisão arbitrária.","`Integer` é um subtipo de `Int`.","Não há diferença entre os dois tipos.","`Int` é para inteiros de precisão fixa, enquanto `Integer` é para inteiros de precisão arbitrária."
"M6_Q05",6,"Em Haskell, por que a cláusula `else` é obrigatória em uma expressão `if-then-else`?","a","Porque o `if` em Haskell é uma expressão que deve retornar um valor em qualquer caso.","Porque a sintaxe da linguagem exige uma estrutura completa.","Para evitar erros de compilação semânticos.","Apenas por uma questão de boa prática de programação.","Não é obrigatória, a cláusula `else` pode ser omitida.","Porque o `if` em Haskell é uma expressão que deve retornar um valor em qualquer caso."
"M6_Q06",6,"Qual é a função da notação `| guarda = expressão` na definição de uma função em Haskell?","d","Para criar um laço de repetição com base em uma condição.","Para definir uma função recursiva.","Para declarar uma variável local dentro da função.","Para estabelecer uma distinção entre casos diferentes na definição de uma função.","Para definir um tipo de dado personalizado.","Para estabelecer uma distinção entre casos diferentes na definição de uma função."
"M6_Q07",6,"Em Haskell, o que significa que uma função é um valor de primeira ordem?","e","Que ela sempre retorna um valor inteiro.","Que ela é a primeira função a ser executada no programa.","Que seu nome é sempre escrito em letras maiúsculas.","Que ela não pode ser usada como argumento de outra função.","Que uma função pode ser tratada como qualquer outro valor, como argumentos ou retornos de outras funções.","Que uma função pode ser tratada como qualquer outro valor, como argumentos ou retornos de outras funções."
"M6_Q08",6,"Qual das seguintes opções representa uma característica da linguagem Haskell?","a","Possui avaliação preguiçosa (lazy evaluation) e permite trabalhar com listas infinitas.","Usa comandos de atribuição para modificar o estado de variáveis.","É uma linguagem puramente imperativa.","Sua sintaxe é baseada em C e Java.","Não possui um sistema de dedução automática de tipos.","Possui avaliação preguiçosa (lazy evaluation) e permite trabalhar com listas infinitas."
"M6_Q09",6,"Como um programa Haskell representa a soma dos números de 1 a 10 de forma declarativa?","b","Através de um laço de repetição `for`.","Através da aplicação da função `sum` em uma lista de inteiros `[1..10]`.","Através de um comando de atribuição em uma variável.","Usando uma expressão condicional.","Implementando uma função recursiva que se chama até 10 vezes.","Através da aplicação da função `sum` em uma lista de inteiros `[1..10]`."
"M6_Q10",6,"Qual dos seguintes tipos de dados não é um tipo primitivo em Haskell?","c","Bool.","Int.","Listas.","Char.","String.","Listas."
"M6_Q11",6,"No paradigma funcional, as variáveis são consideradas:","a","Imutáveis.","Mutáveis.","Temporárias.","Globais.","Sempre numéricas.","Imutáveis."
"M6_Q12",6,"O que é um 'casamento de padrões' (pattern matching) na definição de funções?","d","É um método de ordenação de dados em uma lista.","Uma maneira de declarar múltiplas variáveis.","Uma forma de verificar se uma condição é verdadeira ou falsa.","Uma sequência de padrões que é usada para escolher entre diferentes definições de uma função.","A atribuição de um valor a uma variável.","Uma sequência de padrões que é usada para escolher entre diferentes definições de uma função."
"M6_Q13",6,"Em Haskell, qual é o tipo de uma lista que armazena elementos de tipos diferentes?","e","Não é possível criar uma lista com elementos de tipos diferentes, pois listas em Haskell são homogêneas.","`[Any]`","`[Mixed]`","`[Various]`","`HeteroList`","Não é possível criar uma lista com elementos de tipos diferentes, pois listas em Haskell são homogêneas."
"M6_Q14",6,"Qual é a função do operador `++` em Haskell?","c","Ele realiza a soma de dois números inteiros.","Ele concatena o primeiro elemento com o restante da lista.","Ele concatena duas listas.","Ele adiciona um elemento ao final da lista.","Ele remove um elemento da lista.","Ele concatena duas listas."
"M6_Q15",6,"O que a notação `[1, 3..7]` em Haskell resulta?","a","Uma lista com os números [1, 3, 5, 7].","Uma lista com os números [1, 2, 3, 4, 5, 6, 7].","Um erro de sintaxe.","Uma lista vazia.","O número 7.","Uma lista com os números [1, 3, 5, 7]."
"M6_Q16",6,"Qual das seguintes funções utilitárias retorna o primeiro elemento de uma lista?","d","`tail`","`last`","`drop`","`head`","`length`","`head`"
"M6_Q17",6,"Qual a função de um ""guarda"" em uma definição de função em Haskell?","e","Para garantir que a função retorne sempre o mesmo tipo de dado.","Para proteger o código de erros de execução.","Para definir um caso recursivo.","Para declarar o nome da função.","Para escolher entre uma sequência de resultados de mesmo tipo, baseando-se em condições lógicas.","Para escolher entre uma sequência de resultados de mesmo tipo, baseando-se em condições lógicas."
"M6_Q18",6,"O que a expressão `[x^2 | x <- [1..5], even x]` resulta em Haskell?","b","Uma lista com todos os números pares de 1 a 5.","Uma lista com os quadrados dos números pares de 1 a 5.","Uma lista com os quadrados de todos os números de 1 a 5.","Um erro de sintaxe.","Uma lista vazia.","Uma lista com os quadrados dos números pares de 1 a 5."
"M6_Q19",6,"A programação funcional se baseia em qual conceito matemático?","a","Funções matemáticas.","Álgebra linear.","Geometria euclidiana.","Teoria dos conjuntos.","Cálculo diferencial.","Funções matemáticas."
"M6_Q20",6,"Qual é a notação correta em Haskell para uma função que recebe um `Int` e retorna um `Bool`?","c","`funcao :: Int`","`funcao -> Int Bool`","`funcao :: Int -> Bool`","`funcao = Int -> Bool`","`funcao : Int -> Bool`","`funcao :: Int -> Bool`"
"C2_Q01",-2,"Qual a estrutura de uma função recursiva para somar os elementos de uma lista?","c","A função deve usar um laço de repetição `for`.","A função deve modificar o estado de uma variável acumuladora.","A função deve ter um caso base para uma lista vazia e um caso recursivo para uma lista não vazia.","A função deve sempre retornar 0.","A função deve usar a função `sum` em todos os casos.","A função deve ter um caso base para uma lista vazia e um caso recursivo para uma lista não vazia."
"C2_Q02",-2,"No contexto de recursão sobre listas, o que representa o `head` de uma lista?","d","O último elemento da lista.","O tamanho da lista.","A lista completa.","O primeiro elemento da lista.","A cauda da lista.","O primeiro elemento da lista."
"C2_Q03",-2,"Em uma função recursiva que processa uma lista `(a:as)`, o que `a` e `as` representam?","a","`a` é a cabeça da lista e `as` é a cauda (corpo) da lista.","`a` é um contador e `as` é o resultado final.","`a` e `as` são argumentos de tipos diferentes.","`a` é o primeiro elemento e `as` é a soma dos demais.","`a` é um acumulador e `as` é o elemento atual.","`a` é a cabeça da lista e `as` é a cauda (corpo) da lista."
"C2_Q04",-2,"Considerando a função `sumList [] = 0` e `sumList (a:as) = a + sumList as`, qual seria o resultado de `sumList [10]`?","b","0.","10.","1.","[10].","Erro de compilação.","10."
"C2_Q05",-2,"O que acontece se uma função recursiva não tiver um caso base adequado?","a","A função entra em um loop infinito ou gera um erro de pilha (stack overflow).","O compilador de Haskell corrige o erro automaticamente.","A função retorna um valor nulo.","O programa continua a execução normalmente.","A função sempre retorna 0.","A função entra em um loop infinito ou gera um erro de pilha (stack overflow)."
"C2_Q06",-2,"Qual é a definição correta do caso base na recursão?","c","A parte da função que se chama novamente.","O ponto de partida da recursão.","A condição de parada que retorna um valor sem fazer uma chamada recursiva.","A parte da função que lida com o erro.","A condição que verifica se a lista está cheia.","A condição de parada que retorna um valor sem fazer uma chamada recursiva."
"C2_Q07",-2,"Em uma função recursiva para calcular o comprimento de uma lista, qual é o caso base?","e","Quando a lista tem apenas um elemento.","Quando a lista está cheia.","Quando o último elemento é encontrado.","Quando a lista não tem elementos.","Quando a lista está vazia (`[]`), retornando 0.","Quando a lista está vazia (`[]`), retornando 0."
"C2_Q08",-2,"A avaliação preguiçosa (lazy evaluation) é um conceito importante para a recursão em Haskell porque:","d","Permite que a linguagem ignore erros de recursão.","Permite a criação de variáveis mutáveis.","Força a execução de todas as chamadas recursivas de uma vez.","Permite que a linguagem trabalhe com listas infinitas, avaliando apenas o necessário.","Garante que a função sempre retorne um valor inteiro.","Permite que a linguagem trabalhe com listas infinitas, avaliando apenas o necessário."
"C2_Q09",-2,"Como a função `tail` se relaciona com a recursão em listas?","c","Ela retorna o primeiro elemento da lista.","Ela retorna o último elemento da lista.","Ela é usada no passo recursivo para processar o restante da lista.","Ela define o caso base da recursão.","Ela concatena duas listas.","Ela é usada no passo recursivo para processar o restante da lista."
"C2_Q10",-2,"Qual seria a função recursiva em Haskell para calcular o tamanho de uma lista?","b","`length (a:as) = 1 + length (a:as)`","`length [] = 0; length (a:as) = 1 + length as`","`length xs = head xs + tail xs`","`length [] = 1; length (a:as) = length as`","`length xs = 1`","`length [] = 0; length (a:as) = 1 + length as`"
"C2_Q11",-2,"Em uma função recursiva `largest` para encontrar o maior elemento de uma lista, qual o caso base correto?","a","`largest [x] = x`","`largest [] = 0`","`largest (x:xs) = x`","`largest [x,y] = max x y`","`largest xs = head xs`","`largest [x] = x`"
"C2_Q12",-2,"O que a expressão `take 3 [1,2,3,4,5]` resulta?","c","`[4,5]`","`[1,2,3,4,5]`","`[1,2,3]`","`[3,4,5]`","`[1]`","`[1,2,3]`"
"C2_Q13",-2,"Considerando a definição de `sumList` do arquivo, qual a ordem de avaliação para `sumList [1,2]`?","b","`sumList [1,2]` -> `sumList [2]` -> `sumList []` -> `1+2+0`","`sumList [1,2]` -> `1 + sumList [2]` -> `1 + (2 + sumList [])` -> `1 + (2 + 0)` -> `3`","`sumList [1,2]` -> `sumList []` -> `1+2`","`sumList [1,2]` -> `1+2` -> `3`","A ordem de avaliação não é definida em Haskell.","`sumList [1,2]` -> `1 + sumList [2]` -> `1 + (2 + sumList [])` -> `1 + (2 + 0)` -> `3`"
"C2_Q14",-2,"Em Haskell, qual função é usada para pegar a cauda (o restante) de uma lista?","e","`head`","`drop`","`reverse`","`take`","`tail`","`tail`"
"C2_Q15",-2,"O que representa a notação `[n:ns]` em uma definição de função em Haskell?","a","A lista com cabeça `n` e cauda `ns`.","A lista de números inteiros.","A lista de strings.","Um erro de sintaxe.","A lista vazia.","A lista com cabeça `n` e cauda `ns`"
"C2_Q16",-2,"O que acontece ao tentar acessar o `head` de uma lista vazia em Haskell?","e","Retorna 0.","Retorna `null`.","Retorna um valor indefinido.","Retorna um erro de compilação.","Causa um erro em tempo de execução, pois não há cabeça na lista vazia.","Causa um erro em tempo de execução, pois não há cabeça na lista vazia."
"C2_Q17",-2,"Qual das seguintes opções é um exemplo de caso base para uma função recursiva que processa uma lista?","d","`fib 1 = 1`","`factorial n = n * factorial (n-1)`","`length (a:as) = 1 + length as`","`sumList [] = 0`","`largest (x:xs) = x`","`sumList [] = 0`"
"C2_Q18",-2,"Em uma função recursiva, o que é o ""passo recursivo""?","a","É a parte da função que se chama a si mesma com um argumento modificado, geralmente menor.","É a parte da função que retorna um valor constante.","É a primeira linha da definição da função.","É o ponto em que a função para de se chamar.","É a parte da função que lida com listas infinitas.","É a parte da função que se chama a si mesma com um argumento modificado, geralmente menor."
"C2_Q19",-2,"Qual das seguintes funções utilitárias é usada para remover uma quantidade x de elementos do início de uma lista?","e","`take`","`head`","`reverse`","`length`","`drop`","`drop`"
"C2_Q20",-2,"A função `last` em Haskell, que retorna o último elemento de uma lista, pode ser implementada recursivamente. Qual seria a lógica do caso recursivo?","b","Chamar `last` com o `head` da lista.","Chamar `last` com o `tail` da lista até que reste apenas um elemento.","Retornar sempre o primeiro elemento.","Retornar a lista completa.","Usar um laço de repetição.","Chamar `last` com o `tail` da lista até que reste apenas um elemento."
"C1_Q01",-1,"De acordo com o material, qual foi a primeira linguagem de programação de alto nível projetada para o computador IBM 704?","c","COBOL.","Algol.","Fortran.","Lisp.","C.","Fortran."
"C1_Q02",-1,"Qual o conceito de ""paradigma"" que foi discutido na primeira aula?","b","Um método de avaliação de software.","Um modelo ou padrão a ser seguido.","Um conjunto de regras gramaticais de uma linguagem.","Uma técnica de programação avançada.","Um tipo de linguagem de programação.","Um modelo ou padrão a ser seguido."
"C1_Q03",-1,"O que a semântica de uma linguagem de programação descreve?","e","O formato de um programa.","A performance de um programa.","O significado de um programa.","A tradução de um programa para linguagem de máquina.","O formato e significado do programa.","O significado de um programa."
"C1_Q04",-1,"Em linguagens imperativas, qual arquitetura de computadores exerceu um efeito crucial sobre o seu projeto?","d","Arquitetura de Harvard.","Arquitetura de Babbage.","Arquitetura de Turing.","Arquitetura de von Neumann.","Arquitetura de Princeton.","Arquitetura de von Neumann."
"C1_Q05",-1,"Qual das seguintes características NÃO se aplica ao paradigma imperativo?","a","A ausência de mudança de estado.","O uso de comandos para modificar o estado.","O uso de variáveis que modelam células de memória.","A dependência da arquitetura de von Neumann.","O uso de procedimentos para sumarizar sequências de instruções.","A ausência de mudança de estado."
"C1_Q06",-1,"O que caracteriza um sistema de tipos ""fortemente tipado""?","d","Permite coerção entre tipos não relacionados.","Permite o uso de variáveis sem declaração de tipo.","Permite que o tipo de uma variável mude em tempo de execução.","É mais propenso a gerar erros ou não compilar quando os tipos esperados não correspondem.","Utiliza apenas tipos primitivos.","É mais propenso a gerar erros ou não compilar quando os tipos esperados não correspondem."
"C1_Q07",-1,"A linguagem de programação COBOL foi desenvolvida para qual área de aplicação?","a","Aplicações de negócios.","Inteligência artificial.","Cálculo científico.","Sistemas de tempo real.","Programação de sistemas.","Aplicações de negócios."
"C1_Q08",-1,"Qual a principal vantagem da compilação em comparação com a interpretação, de acordo com o material?","b","Portabilidade.","Eficiência.","Facilidade de depuração.","Facilidade de prototipação.","Menor consumo de memória.","Eficiência."
"C1_Q09",-1,"O que é um ""valor de primeira classe""?","c","Qualquer valor que pode ser armazenado em um array.","Um valor de tipo primitivo.","Um valor que pode ser passado como argumento, retornado de uma função e atribuído a uma variável sem restrições.","Um valor que só pode ser passado como argumento.","Um valor que só pode ser retornado de uma função.","Um valor que pode ser passado como argumento, retornado de uma função e atribuído a uma variável sem restrições."
"C1_Q10",-1,"O que a Forma de Backus Naur (BNF) é usada para definir?","e","A semântica de uma linguagem.","O comportamento de um programa.","A eficiência de um programa.","A portabilidade do código.","A sintaxe de uma linguagem.","A sintaxe de uma linguagem."
"C1_Q11",-1,"Qual das seguintes linguagens é citada como sendo multiparadigma e combinando características de imperativa, orientada a objetos e funcional?","a","C++.","Pascal.","Prolog.","Fortran.","Haskell.","C++."
"C1_Q12",-1,"Qual o principal problema do uso irrestrito de `jumps` em programas imperativos?","b","Melhora a legibilidade do código.","Gera comandos do tipo múltiplas-entradas e múltiplas-saídas (programas spaghetti).","Evita que um comando seja executado abruptamente.","Aumenta a reusabilidade do código.","Torna o código mais conciso.","Gera comandos do tipo múltiplas-entradas e múltiplas-saídas (programas spaghetti)."
"C1_Q13",-1,"O que o polimorfismo de ""inclusão"" permite?","c","Que uma função atue sobre um número finito de tipos não relacionados.","Uma conversão implícita de tipo.","Que um tipo possa ter subtipos que herdam suas características.","Uma abstração genérica sobre múltiplos tipos.","A sobrecarga de operadores.","Que um tipo possa ter subtipos que herdam suas características."
"C1_Q14",-1,"Qual tipo de polimorfismo ocorre quando um identificador é aplicável a mais de uma operação e o compilador distingue a operação a ser chamada pelo tipo do parâmetro?","a","Sobrecarga.","Coerção.","Inclusão.","Paramétrico.","Universal.","Sobrecarga."
"C1_Q15",-1,"Em uma linguagem com tipagem estática, o tipo das expressões é determinado em qual momento?","d","Em tempo de execução.","Somente após os testes do programa.","No final da execução.","No tempo de compilação.","No momento da declaração da variável.","No tempo de compilação."
"C1_Q16",-1,"No contexto da compilação, o que a fase de ""Análise Sintática"" faz?","e","Traduz o código fonte para linguagem de máquina.","Gera um programa executável.","Otimiza o código.","Transforma o código em uma sequência de tokens.","Cria uma árvore abstrata a partir da gramática da linguagem.","Cria uma árvore abstrata a partir da gramática da linguagem."
"C1_Q17",-1,"De acordo com o material, qual das seguintes afirmações sobre a linguagem C é verdadeira?","b","Ela possui um tipo booleano primitivo.","Ela não possui um tipo booleano primitivo e usa 0 como falso.","Ela é uma linguagem puramente funcional.","Ela é forte e dinamicamente tipada.","Ela é um exemplo de polimorfismo paramétrico.","Ela não possui um tipo booleano primitivo e usa 0 como falso."
"C1_Q18",-1,"O que são expressões com ""efeitos colaterais""?","c","Expressões que sempre retornam um valor booleano.","Expressões que são avaliadas após um comando.","Expressões que, quando avaliadas, podem alterar o estado do programa.","Expressões que não modificam o estado do programa.","Expressões usadas apenas para laços de repetição.","Expressões que, quando avaliadas, podem alterar o estado do programa."
"C1_Q19",-1,"Qual a principal desvantagem da interpretação?","a","Problemas com eficiência e maior consumo de memória.","Falta de portabilidade.","Dificuldade para prototipação.","Problemas com depuração.","A sintaxe ser complexa.","Problemas com eficiência e maior consumo de memória."
"C1_Q20",-1,"A linguagem Lisp é considerada precursora de qual paradigma de programação?","b","Orientado a objetos.","Funcional.","Lógico.","Imperativo.","Concorrente.","Funcional."
