id_questao;missao;pergunta;alternativa_certa;texto_alternativa_a;texto_alternativa_b;texto_alternativa_c;texto_alternativa_d;texto_alternativa_e;texto_alternativa_certa
"M5_Q08";"5";"Qual das seguintes alternativas descreve a diferenca entre expressoes e comandos de acordo com o material?";"e";"Expressoes modificam estados comandos leem estados.";"Nao ha diferenca entre eles.";"Ambos modificam estados mas de formas diferentes.";"Expressoes sao sempre booleanas comandos nao.";"Expressoes leem estados e computam valores enquanto comandos modificam estados.";"Expressoes leem estados e computam valores enquanto comandos modificam estados."
"M5_Q09";"5";"Qual dos seguintes nao e um tipo fundamental de comando mencionado no material?";"c";"Atribuicoes.";"Chamadas de Procedimento.";"Comandos Recursivos.";"Comandos condicionais.";"Comandos iterativos.";"Comandos Recursivos."
"M5_Q10";"5";"O que caracteriza um comando "colateral"?";"a";"Um conjunto de comandos executados sem uma ordem particular ou seja nao deterministicos.";"Um comando que e executado apos o termino de outro.";"Um comando que transfere o controle para outro ponto do programa.";"Um comando que repete a execucao de um conjunto de instrucoes.";"Um comando que e sempre deterministico.";"Um conjunto de comandos executados sem uma ordem particular ou seja nao deterministicos."
"M5_Q11";"5";"O que a Transparencia Referencial em uma linguagem de programacao significa?";"d";"Que a linguagem e estritamente tipada.";"Que as funcoes podem ter efeitos colaterais.";"Que qualquer comando pode ser substituido por outro.";"Que qualquer expressao pode ser substituida por outra de mesmo valor sem impacto (ausencia de efeitos colaterais).";"Que a linguagem permite o uso irrestrito de Jumps.";"Que qualquer expressao pode ser substituida por outra de mesmo valor sem impacto (ausencia de efeitos colaterais)."
"M5_Q12";"5";"Por que de acordo com o material as linguagens imperativas nao garantem a transparencia referencial?";"a";"Porque a avaliacao de uma expressao pode alterar o estado de variaveis.";"Porque elas usam alocacao de memoria estatica.";"Porque os comandos iterativos nao sao deterministicos.";"Porque as chamadas de procedimento nao tem efeitos colaterais.";"Porque o escopo e sempre lexico.";"Porque a avaliacao de uma expressao pode alterar o estado de variaveis."
"M5_Q13";"5";"Qual das desvantagens de expressoes com efeitos colaterais e mencionada no material?";"d";"Aumento da concisao.";"Maior reusabilidade do codigo.";"Facil entendimento da semantica.";"Perda de legibilidade e baixa reusabilidade.";"Diminuicao da dependencia de um contexto global.";"Perda de legibilidade e baixa reusabilidade."
"M5_Q14";"5";"O que e um "sequenciador"?";"e";"Um tipo de loop (laco de repeticao).";"Um comando que e executado sequencialmente.";"Um comando que transfere o controle para o proximo comando.";"Um comando que garante a ordem de execucao.";"Uma construcao que transfere o controle para outro ponto do programa.";"Uma construcao que transfere o controle para outro ponto do programa."
"M5_Q15";"5";"O que caracteriza um `jump` (salto) em programacao?";"b";"Um comando de unica entrada e unica saida.";"Uma transferencia de controle explicita de um ponto para outro do programa.";"Um comando que termina a execucao de um bloco de codigo.";"Um comando que manipula exececoes.";"Um comando que e usado apenas para loops.";"Uma transferencia de controle explicita de um ponto para outro do programa."
"M5_Q16";"5";"Qual o problema do uso irrestrito de `jumps`?";"a";"Gera comandos do tipo multiplas-entradas e multiplas-saidas (programas spaghetti).";"Melhora a legibilidade e a organizacao do codigo.";"Evita que um comando seja executado abruptamente.";"Torna o codigo mais conciso.";"Aumenta a reusabilidade do codigo.";"Gera comandos do tipo multiplas-entradas e multiplas-saidas (programas spaghetti)."
"M5_Q17";"5";"Qual e a funcao de um `escape` (como `break` `continue` ou `return` em Java)?";"c";"Garantir que um comando seja sempre executado sequencialmente.";"Criar um loop infinito.";"Terminar a execucao de um comando composto transferindo o controle para o proximo.";"Causar um erro em tempo de execucao.";"Iniciar a execucao de um novo programa.";"Terminar a execucao de um comando composto transferindo o controle para o proximo."
"M5_Q18";"5";"Quando e gerada uma `exception` (excecao)?";"b";"Quando o programa termina a sua execucao normalmente.";"Quando condicoes anormais ocorrem como uma divisao por zero.";"Quando um loop e executado repetidamente.";"Quando um comando e executado sequencialmente.";"Quando um `jump` e utilizado.";"Quando condicoes anormais ocorrem como uma divisao por zero."
"M5_Q19";"5";"O que o material define como um programa "robusto"?";"a";"Um programa que consegue se recuperar de condicoes anormais sem encerrar a sua execucao.";"Um programa que nunca gera erros.";"Um programa que e escrito em uma linguagem funcional.";"Um programa que e muito rapido.";"Um programa que usa alocacao de memoria estatica.";"Um programa que consegue se recuperar de condicoes anormais sem encerrar a sua execucao."
"M5_Q20";"5";"Na arquitetura de von Neumann como os dados e as instrucoes devem ser transportados?";"b";"Da CPU para a Memoria Principal.";"Da Memoria Principal para a CPU.";"Diretamente para os sistemas de Entrada/Saida.";"Apenas da ALU para os Registradores.";"Eles sao armazenados apenas na CPU.";"Da Memoria Principal para a CPU."
"M6_Q01";"6";"Qual a principal caracteristica que diferencia o paradigma funcional do paradigma imperativo?";"b";"O uso de comandos de atribuicao para modificar o estado de variaveis.";"A ausencia de mudanca de estado baseada em funcoes matematicas.";"A capacidade de usar lacos de repeticao como `for` e `while`.";"A obrigatoriedade do uso de expressoes condicionais como `if/else`.";"A presenca de variaveis mutaveis.";"A ausencia de mudanca de estado baseada em funcoes matematicas."
"M6_Q02";"6";"Em Haskell como e definida a prototipacao de tipos para uma funcao?";"a";"Uma sequencia dos tipos dos argumentos seguida do tipo do valor de retorno.";"A definicao do tipo e opcional pois a linguagem deduz automaticamente.";"Com uma notacao de seta (`->`) entre o nome da funcao e o tipo.";"Usando a palavra-chave `type` antes do nome da funcao.";"Nao existe prototipacao de tipos em Haskell.";"Uma sequencia dos tipos dos argumentos seguida do tipo do valor de retorno."
"M6_Q03";"6";"O que e a Transparencia Referencial no contexto da programacao funcional?";"b";"Um programa funcional e completamente determinado pelas entradas que recebe sem efeitos colaterais.";"A habilidade de uma funcao modificar o estado de variaveis externas.";"A capacidade de se referir a variaveis de outros escopos.";"O uso de ponteiros para acessar dados na memoria.";"A definicao de funcoes que dependem da ordem de execucao.";"Um programa funcional e completamente determinado pelas entradas que recebe sem efeitos colaterais."
"M6_Q04";"6";"Qual a principal diferenca entre os tipos `Int` e `Integer` em Haskell?";"c";"`Int` e usado para numeros de ponto flutuante e `Integer` para inteiros.";"`Integer` e um tipo de dados mais antigo e obsoleto.";"`Int` e para inteiros de precisao fixa enquanto `Integer` e para inteiros de precisao arbitraria.";"`Integer` e um subtipo de `Int`.";"Nao ha diferenca entre os dois tipos.";"`Int` e para inteiros de precisao fixa enquanto `Integer` e para inteiros de precisao arbitraria."
"M6_Q05";"6";"Em Haskell por que a clausula `else` e obrigatoria em uma expressao `if-then-else`?";"a";"Porque o `if` em Haskell e uma expressao que deve retornar um valor em qualquer caso.";"Porque a sintaxe da linguagem exige uma estrutura completa.";"Para evitar erros de compilacao semanticos.";"Apenas por uma questao de boa pratica de programacao.";"Nao e obrigatoria a clausula `else` pode ser omitida.";"Porque o `if` em Haskell e uma expressao que deve retornar um valor em qualquer caso."
"M6_Q06";"6";"Qual e a funcao da notacao `| guarda = expressao` na definicao de uma funcao em Haskell?";"d";"Para criar um laco de repeticao com base em uma condicao.";"Para definir uma funcao recursiva.";"Para declarar uma variavel local dentro da funcao.";"Para estabelecer uma distincao entre casos diferentes na definicao de uma funcao.";"Para definir um tipo de dado personalizado.";"Para estabelecer uma distincao entre casos diferentes na definicao de uma funcao."
"M6_Q07";"6";"Em Haskell o que significa que uma funcao e um valor de primeira ordem?";"e";"Que ela sempre retorna um valor inteiro.";"Que ela e a primeira funcao a ser executada no programa.";"Que seu nome e sempre escrito em letras maiusculas.";"Que ela nao pode ser usada como argumento de outra funcao.";"Que uma funcao pode ser tratada como qualquer outro valor como argumentos ou retornos de outras funcoes.";"Que uma funcao pode ser tratada como qualquer outro valor como argumentos ou retornos de outras funcoes."
"M6_Q08";"6";"Qual das seguintes opcoes representa uma caracteristica da linguagem Haskell?";"a";"Possui avaliacao preguicosa (lazy evaluation) e permite trabalhar com listas infinitas.";"Usa comandos de atribuicao para modificar o estado de variaveis.";"E uma linguagem puramente imperativa.";"Sua sintaxe e baseada em C e Java.";"Nao possui um sistema de deducao automatica de tipos.";"Possui avaliacao preguicosa (lazy evaluation) e permite trabalhar com listas infinitas."
"M6_Q09";"6";"Como um programa Haskell representa a soma dos numeros de 1 a 10 de forma declarativa?";"b";"Atraves de um laco de repeticao `for`.";"Atraves da aplicacao da funcao `sum` em uma lista de inteiros `[1..10]`.";"Atraves de um comando de atribuicao em uma variavel.";"Usando uma expressao condicional.";"Implementando uma funcao recursiva que se chama ate 10 vezes.";"Atraves da aplicacao da funcao `sum` em uma lista de inteiros `[1..10]`."
"M6_Q10";"6";"Qual dos seguintes tipos de dados nao e um tipo primitivo em Haskell?";"c";"Bool.";"Int.";"Listas.";"Char.";"String.";"Listas."
"M6_Q11";"6";"No paradigma funcional as variaveis sao consideradas:";"a";"Imutaveis.";"Mutaveis.";"Temporarias.";"Globais.";"Sempre numericas.";"Imutaveis."
"M6_Q12";"6";"O que e um 'casamento de padroes' (pattern matching) na definicao de funcoes?";"d";"E um metodo de ordenacao de dados em uma lista.";"Uma maneira de declarar multiplas variaveis.";"Uma forma de verificar se uma condicao e verdadeira ou falsa.";"Uma sequencia de padroes que e usada para escolher entre diferentes definicoes de uma funcao.";"A atribuicao de um valor a uma variavel.";"Uma sequencia de padroes que e usada para escolher entre diferentes definicoes de uma funcao."
"M6_Q13";"6";"Em Haskell qual e o tipo de uma lista que armazena elementos de tipos diferentes?";"e";"Nao e possivel criar uma lista com elementos de tipos diferentes pois listas em Haskell sao homogeneas.";"`[Any]`";"`[Mixed]`";"`[Various]`";"`HeteroList`";"Nao e possivel criar uma lista com elementos de tipos diferentes pois listas em Haskell sao homogeneas."
"M6_Q14";"6";"Qual e a funcao do operador `++` em Haskell?";"c";"Ele realiza a soma de dois numeros inteiros.";"Ele concatena o primeiro elemento com o restante da lista.";"Ele concatena duas listas.";"Ele adiciona um elemento ao final da lista.";"Ele remove um elemento da lista.";"Ele concatena duas listas."
"M6_Q15";"6";"O que a notacao `[1 3..7]` em Haskell resulta?";"a";"Uma lista com os numeros [1 3 5 7].";"Uma lista com os numeros [1 2 3 4 5 6 7].";"Um erro de sintaxe.";"Uma lista vazia.";"O numero 7.";"Uma lista com os numeros [1 3 5 7]."
"M6_Q16";"6";"Qual das seguintes funcoes utilitarias retorna o primeiro elemento de uma lista?";"d";"`tail`";"`last`";"`drop`";"`head`";"`length`";"`head`"
"M6_Q17";"6";"Qual a funcao de um guarda em uma definicao de funcao em Haskell?";"e";"Para garantir que a funcao retorne sempre o mesmo tipo de dado.";"Para proteger o codigo de erros de execucao.";"Para definir um caso recursivo.";"Para declarar o nome da funcao.";"Para escolher entre uma sequencia de resultados de mesmo tipo baseando-se em condicoes logicas.";"Para escolher entre uma sequencia de resultados de mesmo tipo baseando-se em condicoes logicas."
"M6_Q18";"6";"O que a expressao `[x^2 | x <- [1..5] even x]` resulta em Haskell?";"b";"Uma lista com todos os numeros pares de 1 a 5.";"Uma lista com os quadrados dos numeros pares de 1 a 5.";"Uma lista com os quadrados de todos os numeros de 1 a 5.";"Um erro de sintaxe.";"Uma lista vazia.";"Uma lista com os quadrados dos numeros pares de 1 a 5."
"M6_Q19";"6";"A programacao funcional se baseia em qual conceito matematico?";"a";"Funcoes matematicas.";"Algebra linear.";"Geometria euclidiana.";"Teoria dos conjuntos.";"Calculo diferencial.";"Funcoes matematicas."
"M6_Q20";"6";"Qual e a notacao correta em Haskell para uma funcao que recebe um `Int` e retorna um `Bool`?";"c";"`funcao :: Int`";"`funcao -> Int Bool`";"`funcao :: Int -> Bool`";"`funcao = Int -> Bool`";"`funcao : Int -> Bool`";"`funcao :: Int -> Bool`"
"C2_Q01";"-2";"Qual a estrutura de uma funcao recursiva para somar os elementos de uma lista?";"c";"A funcao deve usar um laco de repeticao `for`.";"A funcao deve modificar o estado de uma variavel acumuladora.";"A funcao deve ter um caso base para uma lista vazia e um caso recursivo para uma lista nao vazia.";"A funcao deve sempre retornar 0.";"A funcao deve usar a funcao `sum` em todos os casos.";"A funcao deve ter um caso base para uma lista vazia e um caso recursivo para uma lista nao vazia."
"C2_Q02";"-2";"No contexto de recursao sobre listas o que representa o `head` de uma lista?";"d";"O ultimo elemento da lista.";"O tamanho da lista.";"A lista completa.";"O primeiro elemento da lista.";"A cauda da lista.";"O primeiro elemento da lista."
"C2_Q03";"-2";"Em uma funcao recursiva que processa uma lista `(a:as)` o que `a` e `as` representam?";"a";"`a` e a cabeca da lista e `as` e a cauda (corpo) da lista.";"`a` e um contador e `as` e o resultado final.";"`a` e `as` sao argumentos de tipos diferentes.";"`a` e o primeiro elemento e `as` e a soma dos demais.";"`a` e um acumulador e `as` e o elemento atual.";"`a` e a cabeca da lista e `as` e a cauda (corpo) da lista."
"C2_Q04";"-2";"Considerando a funcao `sumList [] = 0` e `sumList (a:as) = a + sumList as` qual seria o resultado de `sumList [10]`?";"b";"0.";"10.";"1.";"[10].";"Erro de compilacao.";"10."
"C2_Q05";"-2";"O que acontece se uma funcao recursiva nao tiver um caso base adequado?";"a";"A funcao entra em um loop infinito ou gera um erro de pilha (stack overflow).";"O compilador de Haskell corrige o erro automaticamente.";"A funcao retorna um valor nulo.";"O programa continua a execucao normalmente.";"A funcao sempre retorna 0.";"A funcao entra em um loop infinito ou gera um erro de pilha (stack overflow)."
"C2_Q06";"-2";"Qual e a definicao correta do caso base na recursao?";"c";"A parte da funcao que se chama novamente.";"O ponto de partida da recursao.";"A condicao de parada que retorna um valor sem fazer uma chamada recursiva.";"A parte da funcao que lida com o erro.";"A condicao que verifica se a lista esta cheia.";"A condicao de parada que retorna um valor sem fazer uma chamada recursiva."
"C2_Q07";"-2";"Em uma funcao recursiva para calcular o comprimento de uma lista qual e o caso base?";"e";"Quando a lista tem apenas um elemento.";"Quando a lista esta cheia.";"Quando o ultimo elemento e encontrado.";"Quando a lista nao tem elementos.";"Quando a lista esta vazia (`[]`) retornando 0.";"Quando a lista esta vazia (`[]`) retornando 0."
"C2_Q08";"-2";"A avaliacao preguiçosa (lazy evaluation) e um conceito importante para a recursao em Haskell porque:";"d";"Permite que a linguagem ignore erros de recursao.";"Permite a criacao de variaveis mutaveis.";"Forca a execucao de todas as chamadas recursivas de uma vez.";"Permite que a linguagem trabalhe com listas infinitas avaliando apenas o necessario.";"Garante que a funcao sempre retorne um valor inteiro.";"Permite que a linguagem trabalhe com listas infinitas avaliando apenas o necessario."
"C2_Q09";"-2";"Como a funcao `tail` se relaciona com a recursao em listas?";"c";"Ela retorna o primeiro elemento da lista.";"Ela retorna o ultimo elemento da lista.";"Ela e usada no passo recursivo para processar o restante da lista.";"Ela define o caso base da recursao.";"Ela concatena duas listas.";"Ela e usada no passo recursivo para processar o restante da lista."
"C2_Q10";"-2";"Qual seria a funcao recursiva em Haskell para calcular o tamanho de uma lista?";"b";"`length (a:as) = 1 + length (a:as)`";"`length [] = 0; length (a:as) = 1 + length as`";"`length xs = head xs + tail xs`";"`length [] = 1; length (a:as) = length as`";"`length xs = 1`";"`length [] = 0; length (a:as) = 1 + length as`"
"C2_Q11";"-2";"Em uma funcao recursiva `largest` para encontrar o maior elemento de uma lista qual o caso base correto?";"a";"`largest [x] = x`";"`largest [] = 0`";"`largest (x:xs) = x`";"`largest [x;y] = max x y`";"`largest xs = head xs`";"`largest [x] = x`"
"C2_Q12";"-2";"O que a expressao `take 3 [1 2 3 4 5]` resulta?";"c";"`[4 5]`";"`[1 2 3 4 5]`";"`[1 2 3]`";"`[3 4 5]`";"`[1]`";"`[1 2 3]`"
"C2_Q13";"-2";"Considerando a definicao de `sumList` do arquivo qual a ordem de avaliacao para `sumList [1 2]`?";"b";"`sumList [1 2]` -> `sumList [2]` -> `sumList []` -> `1+2+0`";"`sumList [1 2]` -> `1 + sumList [2]` -> `1 + (2 + sumList [])` -> `1 + (2 + 0)` -> `3`";"`sumList [1 2]` -> `sumList []` -> `1+2`";"`sumList [1 2]` -> `1+2` -> `3`";"A ordem de avaliacao nao e definida em Haskell.";"`sumList [1 2]` -> `1 + sumList [2]` -> `1 + (2 + sumList [])` -> `1 + (2 + 0)` -> `3`"
"C2_Q14";"-2";"Em Haskell qual funcao e usada para pegar a cauda (o restante) de uma lista?";"e";"`head`";"`drop`";"`reverse`";"`take`";"`tail`";"`tail`"
"C2_Q15";"-2";"O que representa a notacao `[n:ns]` em uma definicao de funcao em Haskell?";"a";"A lista com cabeca `n` e cauda `ns`.";"A lista de numeros inteiros.";"A lista de strings.";"Um erro de sintaxe.";"A lista vazia.";"A lista com cabeca `n` e cauda `ns`"
"C2_Q16";"-2";"O que acontece ao tentar acessar o `head` de uma lista vazia em Haskell?";"e";"Retorna 0.";"Retorna `null`.";"Retorna um valor indefinido.";"Retorna um erro de compilacao.";"Causa um erro em tempo de execucao pois nao ha cabeca na lista vazia.";"Causa um erro em tempo de execucao pois nao ha cabeca na lista vazia."
"C2_Q17";"-2";"Qual das seguintes opcoes e um exemplo de caso base para uma funcao recursiva que processa uma lista?";"d";"`fib 1 = 1`";"`factorial n = n * factorial (n-1)`";"`length (a:as) = 1 + length as`";"`sumList [] = 0`";"`largest (x:xs) = x`";"`sumList [] = 0`"
"C2_Q18";"-2";"Em uma funcao recursiva o que e o passo recursivo?";"a";"E a parte da funcao que se chama a si mesma com um argumento modificado geralmente menor.";"E a parte da funcao que retorna um valor constante.";"E a primeira linha da definicao da funcao.";"E o ponto em que a funcao para de se chamar.";"E a parte da funcao que lida com listas infinitas.";"E a parte da funcao que se chama a si mesma com um argumento modificado geralmente menor."
"C2_Q19";"-2";"Qual das seguintes funcoes utilitarias e usada para remover uma quantidade x de elementos do inicio de uma lista?";"e";"`take`";"`head`";"`reverse`";"`length`";"`drop`";"`drop`"
"C2_Q20";"-2";"A funcao `last` em Haskell que retorna o ultimo elemento de uma lista pode ser implementada recursivamente. Qual seria a logica do caso recursivo?";"b";"Chamar `last` com o `head` da lista.";"Chamar `last` com o `tail` da lista ate que reste apenas um elemento.";"Retornar sempre o primeiro elemento.";"Retornar a lista completa.";"Usar um laco de repeticao.";"Chamar `last` com o `tail` da lista ate que reste apenas um elemento."
"C1_Q01";"-1";"De acordo com o material qual foi a primeira linguagem de programacao de alto nivel projetada para o computador IBM 704?";"c";"COBOL.";"Algol.";"Fortran.";"Lisp.";"C.";"Fortran."
"C1_Q02";"-1";"Qual o conceito de paradigma que foi discutido na primeira aula?";"b";"Um metodo de avaliacao de software.";"Um modelo ou padrao a ser seguido.";"Um conjunto de regras gramaticais de uma linguagem.";"Uma tecnica de programacao avancada.";"Um tipo de linguagem de programacao.";"Um modelo ou padrao a ser seguido."
"C1_Q03";"-1";"O que a semantica de uma linguagem de programacao descreve?";"e";"O formato de um programa.";"A performance de um programa.";"O significado de um programa.";"A traducao de um programa para linguagem de maquina.";"O formato e significado do programa.";"O significado de um programa."
"C1_Q04";"-1";"Em linguagens imperativas qual arquitetura de computadores exerceu um efeito crucial sobre o seu projeto?";"d";"Arquitetura de Harvard.";"Arquitetura de Babbage.";"Arquitetura de Turing.";"Arquitetura de von Neumann.";"Arquitetura de Princeton.";"Arquitetura de von Neumann."
"C1_Q05";"-1";"Qual das seguintes caracteristicas NAO se aplica ao paradigma imperativo?";"a";"A ausencia de mudanca de estado.";"O uso de comandos para modificar o estado.";"O uso de variaveis que modelam celulas de memoria.";"A dependencia da arquitetura de von Neumann.";"O uso de procedimentos para sumarizar sequencias de instrucoes.";"A ausencia de mudanca de estado."
"C1_Q06";"-1";"O que caracteriza um sistema de tipos fortemente tipado?";"d";"Permite coercao entre tipos nao relacionados.";"Permite o uso de variaveis sem declaracao de tipo.";"Permite que o tipo de uma variavel mude em tempo de execucao.";"E mais propenso a gerar erros ou nao compilar quando os tipos esperados nao correspondem.";"Utiliza apenas tipos primitivos.";"E mais propenso a gerar erros ou nao compilar quando os tipos esperados nao correspondem."
"C1_Q07";"-1";"A linguagem de programacao COBOL foi desenvolvida para qual area de aplicacao?";"a";"Aplicacoes de negocios.";"Inteligencia artificial.";"Calculo cientifico.";"Sistemas de tempo real.";"Programacao de sistemas.";"Aplicacoes de negocios."
"C1_Q08";"-1";"Qual a principal vantagem da compilacao em comparacao com a interpretacao de acordo com o material?";"b";"Portabilidade.";"Eficiencia.";"Facilidade de depuracao.";"Facilidade de prototipacao.";"Menor consumo de memoria.";"Eficiencia."
"C1_Q09";"-1";"O que e um valor de primeira classe?";"c";"Qualquer valor que pode ser armazenado em um array.";"Um valor de tipo primitivo.";"Um valor que pode ser passado como argumento retornado de uma funcao e atribuido a uma variavel sem restricoes.";"Um valor que so pode ser passado como argumento.";"Um valor que so pode ser retornado de uma funcao.";"Um valor que pode ser passado como argumento retornado de uma funcao e atribuido a uma variavel sem restricoes."
"C1_Q10";"-1";"O que a Forma de Backus Naur (BNF) e usada para definir?";"e";"A semantica de uma linguagem.";"O comportamento de um programa.";"A eficiencia de um programa.";"A portabilidade do codigo.";"A sintaxe de uma linguagem.";"A sintaxe de uma linguagem."
"C1_Q11";"-1";"Qual das seguintes linguagens e citada como sendo multiparadigma e combinando caracteristicas de imperativa orientada a objetos e funcional?";"a";"C++.";"Pascal.";"Prolog.";"Fortran.";"Haskell.";"C++."
"C1_Q12";"-1";"Qual o principal problema do uso irrestrito de `jumps` em programas imperativos?";"b";"Melhora a legibilidade do codigo.";"Gera comandos do tipo multiplas-entradas e multiplas-saidas (programas spaghetti).";"Evita que um comando seja executado abruptamente.";"Aumenta a reusabilidade do codigo.";"Torna o codigo mais conciso.";"Gera comandos do tipo multiplas-entradas e multiplas-saidas (programas spaghetti)."
"C1_Q13";"-1";"O que o polimorfismo de inclusao permite?";"c";"Que uma funcao atue sobre um numero finito de tipos nao relacionados.";"Uma conversao implicita de tipo.";"Que um tipo possa ter subtipos que herdam suas caracteristicas.";"Uma abstracao generica sobre multiplos tipos.";"A sobrecarga de operadores.";"Que um tipo possa ter subtipos que herdam suas caracteristicas."
"C1_Q14";"-1";"Qual tipo de polimorfismo ocorre quando um identificador e aplicavel a mais de uma operacao e o compilador distingue a operacao a ser chamada pelo tipo do parametro?";"a";"Sobrecarga.";"Coercao.";"Inclusao.";"Parametrico.";"Universal.";"Sobrecarga."
"C1_Q15";"-1";"Em uma linguagem com tipagem estatica o tipo das expressoes e determinado em qual momento?";"d";"Em tempo de execucao.";"Somente apos os testes do programa.";"No final da execucao.";"No tempo de compilacao.";"No momento da declaracao da variavel.";"No tempo de compilacao."
"C1_Q16";"-1";"No contexto da compilacao o que a fase de Analise Sintatica faz?";"e";"Traduz o codigo fonte para linguagem de maquina.";"Gera um programa executavel.";"Otimiza o codigo.";"Transforma o codigo em uma sequencia de tokens.";"Cria uma arvore abstrata a partir da gramatica da linguagem.";"Cria uma arvore abstrata a partir da gramatica da linguagem."
"C1_Q17";"-1";"De acordo com o material qual das seguintes afirmacoes sobre a linguagem C e verdadeira?";"b";"Ela possui um tipo booleano primitivo.";"Ela nao possui um tipo booleano primitivo e usa 0 como falso.";"Ela e uma linguagem puramente funcional.";"Ela e forte e dinamicamente tipada.";"Ela e um exemplo de polimorfismo parametrico.";"Ela nao possui um tipo booleano primitivo e usa 0 como falso."
"C1_Q18";"-1";"O que sao expressoes com efeitos colaterais?";"c";"Expressoes que sempre retornam um valor booleano.";"Expressoes que sao avaliadas apos um comando.";"Expressoes que quando avaliadas podem alterar o estado do programa.";"Expressoes que nao modificam o estado do programa.";"Expressoes usadas apenas para lacos de repeticao.";"Expressoes que quando avaliadas podem alterar o estado do programa."
"C1_Q19";"-1";"Qual a principal desvantagem da interpretacao?";"a";"Problemas com eficiencia e maior consumo de memoria.";"Falta de portabilidade.";"Dificuldade para prototipacao.";"Problemas com depuracao.";"A sintaxe ser complexa.";"Problemas com eficiencia e maior consumo de memoria."
"C1_Q20";"-1";"A linguagem Lisp e considerada precursora de qual paradigma de programacao?";"b";"Orientado a objetos.";"Funcional.";"Logico.";"Imperativo.";"Concorrente.";"Funcional."
"M7_Q01";7;"Qual e o conceito fundamental da programacao logica";"c";"Comando e estado";"Funcao e avaliacao";"Fatos regras e consultas";"Objeto e mensagem";"Recursao e iteracao";"Fatos regras e consultas"
"M7_Q02";7;"Em Prolog o que e um "fato"";"a";"Uma declaracao que e sempre verdadeira";"Uma pergunta que o usuario faz ao sistema";"Uma regra que define uma relacao";"Um comando para modificar um estado";"Uma variavel que armazena um valor";"Uma declaracao que e sempre verdadeira"
"M7_Q03";7;"Como e definido uma "regra" em Prolog";"b";"Por meio de uma consulta";"Por meio de uma cabeca e um corpo";"Apenas por meio de fatos";"Por meio de uma lista de variaveis";"Usando um operador de atribuicao";"Por meio de uma cabeca e um corpo"
"M7_Q04";7;"O que e a "unificacao" em Prolog";"e";"O processo de atribuicao de um valor fixo a uma variavel";"O processo de criacao de novos fatos";"O processo de execucao de uma consulta";"O processo de definicao de regras";"Um mecanismo para combinar termos e atribuir valores a variaveis";"Um mecanismo para combinar termos e atribuir valores a variaveis"
"M7_Q05";7;"Em Prolog o que significa a consulta "?- pai(X Y)"";"d";"Uma pergunta sobre o pai de X";"Uma declaracao de que X e o pai de Y";"Um comando para criar um novo pai";"Uma pergunta sobre quem e o pai de Y";"Uma consulta para verificar se X e pai de Y";"Uma pergunta sobre quem e o pai de Y"
"M7_Q06";7;"O que a programacao logica utiliza para inferir novas informacoes a partir de fatos e regras existentes";"c";"Comandos imperativos";"Funcoes de ordem superior";"Deducao e resolucao";"Casamento de padroes";"Heranca";"Deducao e resolucao"
"M7_Q07";7;"Qual e o nome do processo em que o Prolog busca solucoes alternativas quando uma regra falha";"b";"Unificacao";"Backtracking";"Recursao";"Iteracao";"Coercao";"Backtracking"
"M7_Q08";7;"O que o operador "is" faz em Prolog";"a";"Avalia uma expressao aritmetica";"Compara dois valores de forma logica";"Define um novo fato";"Realiza uma unificacao";"Atribui um valor a um atomo";"Avalia uma expressao aritmetica"
"M7_Q09";7;"Qual e a diferenca entre uma variavel e um atomo em Prolog";"e";"Variaveis comecam com letra maiuscula atomos com letra minuscula";"Atomos comecam com letra maiuscula variaveis com letra minuscula";"Variaveis sao usadas para fatos atomos para regras";"Variaveis podem ser numeros atomos nao";"Variaveis sao usadas em consultas atomos sao usados em fatos";"Variaveis comecam com letra maiuscula atomos com letra minuscula"
"M7_Q10";7;"Como sao representadas as listas em Prolog";"c";"Entre chaves {}";"Com parenteses ()";"Entre colchetes []";"Com aspas duplas "";"Entre barras verticais ||";"Entre colchetes []"
"M7_Q11";7;"O que o operador de "corte" (!) faz em Prolog";"a";"Forca o backtracking para encontrar todas as solucoes";"Evita que a unificacao ocorra";"Evita que o Prolog volte a escolher outra alternativa para as metas a sua esquerda";"Inicia um novo fato";"Define uma nova variavel";"Evita que o Prolog volte a escolher outra alternativa para as metas a sua esquerda"
"M7_Q12";7;"Qual e a relacao entre o operador de "corte" (!) e o backtracking";"b";"O corte forca o backtracking";"O corte evita o backtracking apos uma solucao ser encontrada";"O corte e usado apenas em consultas";"O corte e um comando de atribuicao";"Nao ha relacao entre eles";"O corte evita o backtracking apos uma solucao ser encontrada"
"M7_Q13";7;"Um programa em Prolog e composto por um banco de dados que contem o que";"d";"Apenas consultas";"Apenas variaveis";"Apenas funcoes";"Uma colecao de fatos e regras";"Comandos imperativos e funcoes";"Uma colecao de fatos e regras"
"M7_Q14";7;"Em Prolog o que e uma "variavel anonima" representada por um underline (_)";"e";"Uma variavel que pode ser modificada";"Uma variavel com nome";"Um erro de sintaxe";"Uma variavel global";"Uma variavel que nao precisa ser unificada";"Uma variavel que nao precisa ser unificada"
"M7_Q15";7;"Em programacao logica a ordem das regras e dos fatos pode influenciar o que";"c";"O tipo das variaveis";"A sintaxe da linguagem";"O desempenho e a ordem das solucoes encontradas";"O compilador";"A unificacao";"O desempenho e a ordem das solucoes encontradas"
